,intensity,class,HARP,Time,USFLUX,MEANGAM,MEANGBT,MEANGBH,MEANGBZ,MEANJZD,TOTUSJZ,MEANALP,TOTUSJH,SAVNCPP,MEANPOT,MEANSHR
498,13000.000000000002,M,HARP7075,flare_2017.07.09_03:18:00,1.262605609516276e+20,0.8153876629992837,0.5669780942459229,0.7348445877284397,0.8800354889992336,0.020918781768871336,576957382250.2692,136.9904160608301,22.468294977249826,226734473719.41364,221.886546545885,0.8525110247485045
499,24000.0,M,HARP7075,flare_2017.07.14_02:09:00,1.7052435196454326e+19,0.1557283313496024,0.08396065269706292,0.1116288498873388,0.12336790514573737,0.002258771790108156,99092393887.22578,-10.663377583242955,3.0114378843287977,30450966197.752228,23.648831706534317,0.15852421649472012
500,12000.0,M,HARP7115,flare_2017.09.04_05:49:00,1.4472779552254534e+19,0.18856942383497635,0.11391481357735815,0.14275218087523112,0.15258457543418083,-0.0034657800382452563,112533896787.41432,22.472674507323983,2.7537862537868394,58962346105.38251,32.90205754015043,0.19419955352075752
501,15000.000000000002,M,HARP7115,flare_2017.09.04_15:30:00,2.2973184208072697e+20,0.8395517173035238,0.6917333438470431,0.807831569081277,1.078573041477739,0.02682703693919533,1116699872619.0066,-38.0540706761604,50.82141612138558,492578135003.73517,392.34811341642995,0.8318461426451969
502,55000.0,M,HARP7115,flare_2017.09.04_20:33:00,4.2282885251849755e+20,1.1720775603925175,1.1785514005350153,1.3124286733262314,1.92178876033696,0.013673036094742375,1822050987633.1372,-3.639087201733717,102.99441225281701,262611024962.58563,625.2749411439536,1.1368389910893977
503,21000.0,M,HARP7115,flare_2017.09.04_22:14:00,5.604596259167998e+20,1.3639741407339092,1.4041758418995076,1.6322262504213005,2.511278165924209,-0.00026051469533600833,2173487289504.7449,248.24528414437162,132.00501103716584,636576549177.8708,743.3288081360299,1.316483826155498
504,42000.0,M,HARP7115,flare_2017.09.05_01:08:00,7.556916662889488e+20,1.4800757942133294,1.7506761992732123,1.904011825738737,3.0663547864567557,-0.01434973418264816,2709355482963.4644,-181.0240455124641,190.45456993841603,299010743124.17535,918.535341706281,1.445610910153024
505,10000.0,M,HARP7115,flare_2017.09.05_03:51:00,9.39398800891579e+20,1.5875688855333234,2.011425916625433,2.0018266332287347,3.4544840373166377,-0.028482284109410845,3061199263802.146,-728.4713269697444,235.7046271257276,607568550861.7543,1087.2270703390423,1.543378451391142
506,32000.000000000004,M,HARP7115,flare_2017.09.05_04:53:00,9.772137638803167e+20,1.5997892237984384,2.0024003658686156,1.9742777529544508,3.413052906102429,-0.027317959227886233,3256102766476.029,-747.1966823589385,247.5241124524437,604571462783.5042,1134.5204145086796,1.5637943376944572
507,38000.0,M,HARP7115,flare_2017.09.05_06:40:00,9.799908975027255e+20,1.4799083252617522,1.9603067925123272,1.9538799620402423,3.509718490231692,-0.027927272579837376,3175214193586.9277,-1148.6629303407335,264.403892135638,1275003102011.62,1208.1549192271223,1.4433943564504281
508,22999.999999999996,M,HARP7115,flare_2017.09.05_17:43:00,1.1899090540921194e+21,1.5647311658736625,2.5475305291605457,2.540469607650629,3.9573619046673367,-0.016690497313705862,4319170499188.597,-1329.4746089718656,393.5598741330856,1662136960983.304,1571.8912563405868,1.5585711316310575
509,25000.0,M,HARP7115,flare_2017.09.06_15:56:00,1.26537617178745e+21,1.3059015916178547,2.4805128024388,2.4949351076932658,3.6243074969441094,0.028951133141263054,4520179640924.434,959.5068773130188,477.2114491565501,1336796123917.1025,1927.1411633132996,1.296213438812794
